dataset, k, time, layersize
datasets/anti_2.txt, 2147483647, 1227, 48
datasets/anti_4.txt, 2147483647, 1157, 3
datasets/anti_6.txt, 2147483647, 975, 2
datasets/anti_8.txt, 2147483647, 1765, 4
datasets/corr_2.txt, 2147483647, 7943, 728
datasets/corr_4.txt, 2147483647, 2541, 41
datasets/corr_6.txt, 2147483647, 5083, 13
datasets/corr_8.txt, 2147483647, 1729, 7
datasets/inde_2.txt, 2147483647, 2468, 185
datasets/inde_4.txt, 2147483647, 2044, 22
datasets/inde_6.txt, 2147483647, 1801, 10
datasets/inde_8.txt, 2147483647, 1584, 6
datasets/nba_5.txt, 2147483647, 26, 14
datasets/test_2.txt, 2147483647, 0, 4
